,Model_ID,Model_Name,Filename
60,NMLCL000139,Layer 5 Burst Accommodating Bipolar Cell (3),bAC217_L5_BP_a122f83294_0_0
61,NMLCL000140,Layer 5 Burst Accommodating Bipolar Cell (4),bAC217_L5_BP_d0cc8d7615_0_0
62,NMLCL000141,Layer 5 Burst Accommodating Bipolar Cell (5),bAC217_L5_BP_e3706556cb_0_0
63,NMLCL000142,Layer 5 Burst Accommodating Bitufted Cell (1),bAC217_L5_BTC_160272643a_0_0
64,NMLCL000143,Layer 5 Burst Accommodating Bitufted Cell (2),bAC217_L5_BTC_3d68fea85d_0_0
65,NMLCL000144,Layer 5 Burst Accommodating Bitufted Cell (3),bAC217_L5_BTC_5b195d0631_0_0
66,NMLCL000145,Layer 5 Burst Accommodating Bitufted Cell (4),bAC217_L5_BTC_8807af3a2b_0_0
67,NMLCL000146,Layer 5 Burst Accommodating Bitufted Cell (5),bAC217_L5_BTC_9b82f426e5_0_0
68,NMLCL000147,Layer 5 Burst Accommodating Double Bouquet Cell (1),bAC217_L5_DBC_4765d943f4_0_0
69,NMLCL000148,Layer 5 Burst Accommodating Double Bouquet Cell (2),bAC217_L5_DBC_7f0bb8efe9_0_0
70,NMLCL000149,Layer 5 Burst Accommodating Double Bouquet Cell (3),bAC217_L5_DBC_a60ab35166_0_0
71,NMLCL000150,Layer 5 Burst Accommodating Double Bouquet Cell (4),bAC217_L5_DBC_e2f2301440_0_0
72,NMLCL000151,Layer 5 Burst Accommodating Double Bouquet Cell (5),bAC217_L5_DBC_e731906688_0_0
73,NMLCL000152,Layer 5 Burst Accommodating Large Basket Cell (1),bAC217_L5_LBC_01750e1e18_0_0
74,NMLCL000153,Layer 5 Burst Accommodating Large Basket Cell (2),bAC217_L5_LBC_3daa582d70_0_0
75,NMLCL000154,Layer 5 Burst Accommodating Large Basket Cell (3),bAC217_L5_LBC_5fcaa92b0e_0_0
76,NMLCL000155,Layer 5 Burst Accommodating Large Basket Cell (4),bAC217_L5_LBC_b66dd6b653_0_0
77,NMLCL000156,Layer 5 Burst Accommodating Large Basket Cell (5),bAC217_L5_LBC_c2cff91741_0_0
78,NMLCL000157,Layer 5 Burst Accommodating Martinotti Cell (1),bAC217_L5_MC_7eeb7cff0f_0_0
79,NMLCL000158,Layer 5 Burst Accommodating Martinotti Cell (2),bAC217_L5_MC_8a4a02932c_0_0
80,NMLCL000159,Layer 5 Burst Accommodating Martinotti Cell (3),bAC217_L5_MC_bf2b2fbcbf_0_0
81,NMLCL000160,Layer 5 Burst Accommodating Martinotti Cell (4),bAC217_L5_MC_c135727743_0_0
82,NMLCL000161,Layer 5 Burst Accommodating Martinotti Cell (5),bAC217_L5_MC_cc2a170ef6_0_0
83,NMLCL000162,Layer 5 Burst Accommodating Nest Basket Cell (1),bAC217_L5_NBC_2db880c523_0_0
84,NMLCL000163,Layer 5 Burst Accommodating Nest Basket Cell (2),bAC217_L5_NBC_768f1bf7ac_0_0
85,NMLCL000164,Layer 5 Burst Accommodating Nest Basket Cell (3),bAC217_L5_NBC_913c40083e_0_0
86,NMLCL000165,Layer 5 Burst Accommodating Nest Basket Cell (4),bAC217_L5_NBC_a34c1bf418_0_0
87,NMLCL000166,Layer 5 Burst Accommodating Nest Basket Cell (5),bAC217_L5_NBC_e943473349_0_0
88,NMLCL000167,Layer 6 Burst Accommodating Bipolar Cell (1),bAC217_L6_BP_11e76689bf_0_0
89,NMLCL000168,Layer 6 Burst Accommodating Bipolar Cell (2),bAC217_L6_BP_4617fbeed2_0_0
90,NMLCL000169,Layer 6 Burst Accommodating Bipolar Cell (3),bAC217_L6_BP_b41e8e0c23_0_0
91,NMLCL000170,Layer 6 Burst Accommodating Bipolar Cell (4),bAC217_L6_BP_f61a000b31_0_0
92,NMLCL000171,Layer 6 Burst Accommodating Bipolar Cell (5),bAC217_L6_BP_f920d1af2c_0_0
93,NMLCL000172,Layer 6 Burst Accommodating Bitufted Cell (1),bAC217_L6_BTC_0aac470ea8_0_0
94,NMLCL000173,Layer 6 Burst Accommodating Bitufted Cell (2),bAC217_L6_BTC_459ef88946_0_0
95,NMLCL000174,Layer 6 Burst Accommodating Bitufted Cell (3),bAC217_L6_BTC_9e335e53f6_0_0
96,NMLCL000175,Layer 6 Burst Accommodating Bitufted Cell (4),bAC217_L6_BTC_bc69dce0ae_0_0
97,NMLCL000176,Layer 6 Burst Accommodating Bitufted Cell (5),bAC217_L6_BTC_c021ea90e3_0_0
98,NMLCL000177,Layer 6 Burst Accommodating Double Bouquet Cell (1),bAC217_L6_DBC_2005a958c4_0_0
99,NMLCL000178,Layer 6 Burst Accommodating Double Bouquet Cell (2),bAC217_L6_DBC_3c23ead0b4_0_0
100,NMLCL000179,Layer 6 Burst Accommodating Double Bouquet Cell (3),bAC217_L6_DBC_4fe83bdbb1_0_0
101,NMLCL000180,Layer 6 Burst Accommodating Double Bouquet Cell (4),bAC217_L6_DBC_52e1730bbd_0_0
102,NMLCL000181,Layer 6 Burst Accommodating Double Bouquet Cell (5),bAC217_L6_DBC_d59edbb45e_0_0
103,NMLCL000182,Layer 6 Burst Accommodating Large Basket Cell (1),bAC217_L6_LBC_2571ecba02_0_0
104,NMLCL000183,Layer 6 Burst Accommodating Large Basket Cell (2),bAC217_L6_LBC_5d73327936_0_0
105,NMLCL000184,Layer 6 Burst Accommodating Large Basket Cell (3),bAC217_L6_LBC_a08d7d7c5e_0_0
106,NMLCL000185,Layer 6 Burst Accommodating Large Basket Cell (4),bAC217_L6_LBC_e2449b7b3c_0_0
107,NMLCL000186,Layer 6 Burst Accommodating Large Basket Cell (5),bAC217_L6_LBC_e85c51cdb8_0_0
108,NMLCL000187,Layer 6 Burst Accommodating Martinotti Cell (1),bAC217_L6_MC_38015c3bc0_0_0
109,NMLCL000188,Layer 6 Burst Accommodating Martinotti Cell (2),bAC217_L6_MC_6c575906a7_0_0
110,NMLCL000189,Layer 6 Burst Accommodating Martinotti Cell (3),bAC217_L6_MC_792eb41cce_0_0
111,NMLCL000190,Layer 6 Burst Accommodating Martinotti Cell (4),bAC217_L6_MC_d379cda689_0_0
112,NMLCL000191,Layer 6 Burst Accommodating Martinotti Cell (5),bAC217_L6_MC_df869132b9_0_0
113,NMLCL000192,Layer 6 Burst Accommodating Nest Basket Cell (1),bAC217_L6_NBC_1ef33fd873_0_0
114,NMLCL000193,Layer 6 Burst Accommodating Nest Basket Cell (2),bAC217_L6_NBC_35ea10d24d_0_0
115,NMLCL000194,Layer 6 Burst Accommodating Nest Basket Cell (3),bAC217_L6_NBC_3fc0dff69e_0_0
116,NMLCL000195,Layer 6 Burst Accommodating Nest Basket Cell (4),bAC217_L6_NBC_656e1c0a2d_0_0
117,NMLCL000196,Layer 6 Burst Accommodating Nest Basket Cell (5),bAC217_L6_NBC_ee7b52323f_0_0
118,NMLCL000197,Layer 2/3 Burst Irregular Bipolar Cell (1),bIR215_L23_BP_01b2a216cc_0_0
119,NMLCL000198,Layer 2/3 Burst Irregular Bipolar Cell (2),bIR215_L23_BP_a4d3f66d76_0_0
120,NMLCL000199,Layer 2/3 Burst Irregular Bipolar Cell (3),bIR215_L23_BP_ab6ff08482_0_0
121,NMLCL000200,Layer 2/3 Burst Irregular Bipolar Cell (4),bIR215_L23_BP_bfa0052ead_0_0
