Cell_ID,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,SteadyStateAPs,FrequencyPassAbove,FrequencyPassBelow,RampFirstSpike
NMLCL000073,72.0216099998842,72.4000247633317,-0.37841476344749503,0.525418361861257,4.70854700127558,0.51,0.51,-2.17690789142188e-14,2.990000000000009,2.9800000000000204,-28.6000468226098,-28.9960469802007,1.38461366880643,13.492529999719501,14.008195237667,3.82185726441426,23.65,36.47,0.0,0.0,7.13999999999987,13.7700000000001,0.0,0.0,15.805,7.3000000000001295,0.0,0.0,-20.0,-20.0,-0.0694927032661571,-96.64789836838447,76.560932552226,117.645,3.1431499366867697,46.567862714507704,16.5,36.822394146543004,0,35.771368136374,143.0,2087.63
NMLCL000087,84.288880001236,80.8812466595323,3.40763334170367,-4.0428029671929515,3.28197059887707,0.44,0.44,0.0,3.54999999999995,3.6400000000001,-30.9516330761866,-29.5670197019619,-4.47347437473335,25.5894174192251,26.742705055612007,4.50689289831384,11.7700000000001,57.32999999999989,0.0,0.0,4.85000000000002,28.8499999999999,0.0,0.0,153.355,26.73,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.104663819810768,-82.6015798891552,10.0,261.145,3.28201630409245,473.20017559262703,8.5,1119.5673597349698,0,29.0,62.38981925176821,2133.71
NMLCL000088,84.454780001226,81.18157000435001,3.2732099968759902,-3.87569536837166,3.52363406085648,0.43,0.44,2.3255813953488502,3.5,3.56999999999994,-31.565581659268602,-30.0828459393544,-4.69731790758509,26.024755806214102,26.2141899991432,0.72789998238483,11.5099999999999,56.97,0.0,0.0,4.75,28.6700000000003,0.0,0.0,154.525,26.7050000000002,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.103984693453124,-82.6256449455452,10.0,260.96,3.28081034045627,479.8284205895269,8.5,1143.5132625736,0,29.0,62.030110092668295,2133.53
NMLCL000089,83.8383600011018,80.6242300097141,3.21412999138765,-3.83372240504873,3.21472251775636,0.43,0.44,2.32558139534884,3.6100000000000096,3.6700000000000697,-30.4311471720725,-29.234540169396702,-3.93217842202801,26.0180812900804,26.6665324119738,2.49230953913833,11.9899999999999,57.650000000000105,0.0,0.0,4.92000000000007,28.97,0.0,0.0,153.39,26.795,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.104568602231494,-82.6067555139648,10.0,261.575,3.28171234522385,471.87910643889296,8.5,1112.95122130151,0,29.0,55.8385509104303,2133.94
NMLCL000090,84.5277066659884,80.7472399981993,3.7804666677890895,-4.4724585782595705,3.58451765963822,0.45,0.44,-2.22222222222222,3.38,3.46000000000004,-32.6723287308601,-31.07810671303489,-4.87942573961492,25.904764444318598,26.783009228902607,3.3902828434196697,11.36,57.1199999999999,0.0,0.0,4.740000000000009,28.6199999999999,0.0,0.0,157.955,26.795,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.101852700624357,-82.7077451292693,10.0,263.35,3.27600914151177,490.362762237764,8.5,1154.01544565594,0,29.0,61.16071430110389,2133.47
NMLCL000091,84.4035800011462,81.3086399973162,3.09494000382998,-3.66683498944944,3.37178760912704,0.43,0.44,2.3255813953488302,3.5900000000000296,3.68000000000006,-30.6400325468292,-29.1495956512331,-4.86434501438003,25.594136841971608,25.961871999223398,1.43679452650566,11.9800000000001,57.67000000000011,0.0,0.0,4.92000000000007,28.99,0.0,0.0,153.46,26.8349999999999,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.104525974704714,-82.6011978914594,10.0,261.665,3.2819624066911204,471.744364193479,8.5,1112.9513513855302,0,29.0,61.177078555067,2134.01
NMLCL000092,75.3183120011981,73.0338266648379,2.28448533636021,-3.03310745509521,3.1481552879622696,0.5,0.51,2.0,4.69000000000005,4.96000000000004,-20.773250320026,-19.2474432537591,-7.34505694949387,22.108231999724804,22.4334918738081,1.47121612477815,15.76,60.60999999999989,0.0,0.0,5.95000000000016,30.22,0.0,0.0,60.97,25.845,0.0,0.0,-50.0,-50.0,-0.12960418880738198,-86.42949271186409,140.398213348648,215.385,2.9052860228986503,71.88405797101521,10.0,364.014516267267,0,29.0,54.076555961076295,2048.86
NMLCL000093,74.1321933325833,74.03442600695479,0.0977673256285527,-0.131882413339551,0.7497128124736608,0.54,0.54,-2.05596856412066e-14,3.51999999999998,3.55999999999995,-26.3862939973151,-25.967982312122196,-1.58533701335814,18.7475615379653,18.4115910241987,-1.79207580189159,26.6100000000001,87.2000000000003,0.0,0.0,8.529999999999971,37.6600000000001,0.0,0.0,71.8249999999999,30.9300000000001,0.0,0.0,-50.0,-50.0,-0.08177818485140899,-79.98653555844291,193.720671003817,228.285,3.1259007827201497,37.0853276118163,9.5,376.11418286299596,0,29.0,143.0,2080.1
NMLCL000094,76.41196600187841,75.2653000027889,1.14666599908945,-1.50063669224433,1.98516751004071,0.45,0.44,-2.22222222222224,2.33000000000004,2.3499999999999104,-42.0345357349568,-41.2393771766899,-1.89167917371718,21.5285022605728,21.6472363624287,0.5515204932457249,20.140000000000104,71.1900000000001,0.0,0.0,5.6400000000001,30.7900000000002,0.0,0.0,56.684999999999896,26.4299999999999,0.0,0.0,-25.0,-50.0,-0.112726862811408,-80.1817222551006,193.78849526206002,185.95,3.17603118778932,22.076395690499506,11.5,231.876607617583,0,29.0,38.5198150053056,2055.15
NMLCL000095,72.27023000064341,70.7726133323812,1.49761666826215,-2.07224560963598,2.48787527985208,0.57,0.58,1.7543859649122802,7.06000000000006,7.980000000000019,-12.805547502297802,-11.193823447255099,-12.586139364626401,18.136935365579607,18.554097776715,2.3000711130451097,19.530000000000104,69.41000000000011,0.0,0.0,7.38,33.6199999999999,0.0,0.0,64.97,28.0000000000001,0.0,0.0,-33.3333333333333,-66.6666666666667,-1.0,-85.777266831367,156.808474857909,231.3,2.7582223273196296,60.505212510024,9.0,407.154241636612,0,29.0,143.0,2036.26
