,PC 1,PC 2,PC 3,Model_ID,Channel_Type
0,-0.8517070982630158,-0.10588271142660258,-0.13005111628067445,NMLCH000005,Nav
1,-0.8517070982630144,-0.10588271142660165,-0.13005111628067487,NMLCH000006,Nav
2,-0.13318650265650522,0.4742283978699827,0.24976123615103843,NMLCH000008,Nav
3,0.029495432277576998,0.7244729568202053,0.7280745132481198,NMLCH000023,Nav
4,0.6849926567732447,0.5937350542079539,0.1178341007685554,NMLCH000096,Nav
5,6.512740544140932,-0.787141498710957,-0.15005905620637566,NMLCH000097,Nav
6,1.5682568106098156,-2.148387260897537,0.4885856385373035,NMLCH000098,Nav
7,1.9482324739590644,-1.8214729236187015,0.15819646940801033,NMLCH000109,Nav
8,-0.8045747391024405,-0.049220307026283994,-0.03756315029776374,NMLCH000110,Nav
9,-0.8730651331418808,-0.10946839573055712,-0.09003256141259836,NMLCH000111,Nav
10,0.6409616238627791,1.3430331707263337,1.47636617804428,NMLCH000117,Nav
11,0.9782566872917586,1.544962628220045,1.420769226641439,NMLCH000124,Nav
12,-0.4485790125486007,0.2959318961874692,0.3255044904413087,NMLCH000125,Nav
13,-0.32803690292995474,0.4261169165349709,0.47645276003315734,NMLCH000126,Nav
14,2.920016701319723,0.6198412041264951,-0.08484069929243693,NMLCH000127,Nav
15,-0.11395415207636031,0.17047366821172039,-0.6672522950827612,NMLCH000131,Nav
16,-0.8517070982630146,-0.10588271142660198,-0.13005111628067437,NMLCH000136,Nav
17,-0.872005098582722,-0.12030613114659908,-0.07253138753385094,NMLCH000137,Nav
18,-0.8126690144639409,-0.13205058294360894,-0.03263404088894544,NMLCH000138,Nav
19,-0.7807463226122693,-0.033843170455384104,-0.033944261575279785,NMLCH000157,Nav
20,-0.7012465090641348,-0.018112033191474464,-0.15939966290597163,NMLCH000158,Nav
21,-0.7012465090641348,-0.018112033191474464,-0.15939966290597163,NMLCH000159,Nav
22,-0.7412420016797681,-0.0037733499881038453,-0.01796847105985533,NMLCH000160,Nav
23,-0.8305430057706644,-0.07792908541989407,-0.07227814931167123,NMLCH000161,Nav
24,-0.8507530697349119,-0.09402331935040602,-0.08168692770888658,NMLCH000162,Nav
25,-0.8305430057706644,-0.07792908541989407,-0.07227814931167123,NMLCH000163,Nav
26,-0.07557898409753873,0.039176775295885466,-0.6601663232894195,NMLCH000164,Nav
27,-0.7625820857877341,-0.12914552287610975,-0.14622105763220622,NMLCH000165,Nav
28,-0.7110619274323826,-0.11470543107039816,-0.19014803829724974,NMLCH000166,Nav
29,-0.7110619274323826,-0.11470543107039816,-0.19014803829724974,NMLCH000167,Nav
30,-0.7110619274323826,-0.11470543107039816,-0.19014803829724974,NMLCH000168,Nav
31,-0.4271452172709858,-0.05450772569237333,-0.5034644134735642,NMLCH000169,Nav
32,-0.4271452172709858,-0.05450772569237333,-0.5034644134735642,NMLCH000170,Nav
33,-0.7625820857877341,-0.12914552287610975,-0.14622105763220622,NMLCH000171,Nav
34,-0.8045747391024405,-0.049220307026283994,-0.03756315029776374,NMLCH001398,Nav
35,1.9482324739590644,-1.8214729236187015,0.15819646940801033,NMLCH001401,Nav
36,2.823087563658946,-0.5567070514321056,0.6117110026618324,NMLCH001480,Nav
37,-0.27985348096578333,0.41448926478362424,0.36644283165616026,NMLCH001486,Nav
38,-0.7557037372795099,-0.005193947117745976,-0.0011695421336379325,NMLCH001490,Nav
39,4.449488779395963,2.535403529645191,-1.4374033505803911,NMLCH001551,Nav
40,-0.864817474938033,-0.10427356650657787,-0.093681798025307,NMLCH001603,Nav
41,-0.8126690144639409,-0.13205058294360894,-0.03263404088894544,NMLCH001610,Nav
42,-0.8126690144639409,-0.13205058294360894,-0.03263404088894544,NMLCH001612,Nav
43,-0.4483325280372649,0.24780295496739754,0.2712875045629919,NMLCH001613,Nav
44,-0.4331628089889518,0.06018695766136718,-0.4964446691570382,NMLCH001626,Nav
45,-0.884366657520633,-0.1429366452693138,-0.12643439641028645,NMLCH001628,Nav
46,-0.6149025429424443,0.08797628109867557,0.10532889291488205,NMLCH001641,Nav
47,-0.8269781020457981,-0.1130859477805278,-0.04454312136600118,NMLCH001645,Nav
