,PC 1,PC 2,PC 3,Model_ID,Channel_Type
0,-1.1747374900378398,0.29997809719295243,-0.15592996882251028,NMLCH000002,Kv
1,-1.11753397817227,0.3683092703831807,-0.10986118322295636,NMLCH000003,Kv
2,-0.1888566499085732,-0.6522720140861932,0.5765082211665142,NMLCH000004,Kv
3,-1.0116986486147586,0.28925772323261423,0.16664454167100193,NMLCH000009,Kv
4,-1.2486428732757537,0.2686504460425532,-0.12187812630821067,NMLCH000011,Kv
5,-1.161636198137255,0.26529475314086404,-0.23708800843900124,NMLCH000020,Kv
6,-0.8090147721291068,-0.20592420875888373,0.5577753399984757,NMLCH000022,Kv
7,-0.531410196914936,-0.4169104239627377,0.16230078327701086,NMLCH000090,Kv
8,-0.5779211565428819,0.020880668768874316,-0.02307436555416676,NMLCH000093,Kv
9,-0.6647428367389437,-0.30443188363536766,0.21155032802164397,NMLCH000094,Kv
10,-0.25392581270401365,-0.47929506881132805,-0.06685106994248582,NMLCH000105,Kv
11,-0.30933167927398275,-0.37049959815954586,-0.08684094538108107,NMLCH000106,Kv
12,-0.5763526833060725,0.48452524433899413,-0.4805738786012288,NMLCH000107,Kv
13,-0.7443029275316786,0.6603512004863725,-0.07481424607534667,NMLCH000108,Kv
14,-0.19440564530179108,-0.9443264457801228,0.8919362101690075,NMLCH000113,Kv
15,0.16148164179999283,-0.36699904977119724,-0.4833649523385135,NMLCH000115,Kv
16,-0.926787797533653,0.013206585987955124,-0.15582997961866266,NMLCH000116,Kv
17,1.2322102925996012,-0.7276098726053983,-0.32749979021012027,NMLCH000119,Kv
18,2.7440622691329652,-0.24148813964462665,-1.1884213431284507,NMLCH000121,Kv
19,6.361886116721559,1.0959097623899934,1.2212827579383256,NMLCH000122,Kv
20,1.5480531350606983,-1.324855944931085,1.0828516379776538,NMLCH000123,Kv
21,0.8264270521050959,-1.1640514659677568,0.03643681784325414,NMLCH000128,Kv
22,-0.9375664086419496,0.02740264439623251,-0.05044942635117748,NMLCH000129,Kv
23,-1.2416366294630294,0.3695241253554775,0.053618156959281155,NMLCH000134,Kv
24,-0.6046858283042188,-0.24800421833933792,0.3293816754549154,NMLCH000135,Kv
25,-0.02523802843272496,0.5833681925315553,-0.62192688803507,NMLCH000146,Kv
26,0.1343313705108157,0.5094962277509495,-1.2866706070794784,NMLCH000147,Kv
27,-0.6297509600636713,0.41614514897814614,-0.5646121051410303,NMLCH000148,Kv
28,-0.8601139067629177,-0.1279203365075422,0.17427469798695047,NMLCH000154,Kv
29,-0.5626121135357668,-0.33292537380823195,0.10456852658332619,NMLCH000155,Kv
30,1.8247272689605165,-0.7992483607029663,-0.7189610836072169,NMLCH000156,Kv
31,-0.25392581270401365,-0.47929506881132805,-0.06685106994248582,NMLCH001383,Kv
32,-0.19440564530179108,-0.9443264457801228,0.8919362101690075,NMLCH001394,Kv
33,-0.7443029275316786,0.6603512004863725,-0.07481424607534667,NMLCH001400,Kv
34,-0.5763526833060725,0.48452524433899413,-0.4805738786012288,NMLCH001402,Kv
35,-0.19440564530179108,-0.9443264457801228,0.8919362101690075,NMLCH001465,Kv
36,-0.7617900949165253,0.13433716026970055,-0.056070259861900194,NMLCH001473,Kv
37,3.5249960088619208,-2.5856586064652576,-0.919797828081518,NMLCH001520,Kv
38,-0.08418511572720705,-0.5625789270381677,-0.14731781611745057,NMLCH001523,Kv
39,-0.7686332805914187,0.4304075704863229,-0.41778339318635244,NMLCH001528,Kv
40,-0.6839563562968893,0.7239022041556606,-0.04114174416201113,NMLCH001529,Kv
41,-0.3495888405221776,-0.3235379168937053,-0.11205991593576865,NMLCH001536,Kv
42,0.2631336098334191,-0.3717386891380482,-0.08815854719478695,NMLCH001547,Kv
43,2.1182164244600066,1.861108802081043,-1.1877911069675966,NMLCH001549,Kv
44,-0.3246932099948444,-0.17188313224464674,0.3566730737982722,NMLCH001568,Kv
45,2.208638998363292,2.974469753336483,0.27803853813681206,NMLCH001577,Kv
46,0.9039369845896811,-0.3111395738006975,-1.5465602816385553,NMLCH001599,Kv
47,-0.739601581041919,-0.07165555355702857,0.19124476619884134,NMLCH001600,Kv
48,-0.19085417967409724,-0.6505884244683425,0.5750548932032021,NMLCH001609,Kv
49,-0.3398198898646141,-0.5988889721599957,0.30342709280276003,NMLCH001611,Kv
50,-0.06053024829660289,1.5096762955202887,0.8430658886386478,NMLCH001618,Kv
51,0.611955577358863,-1.8972921830115703,1.1699156812294036,NMLCH001622,Kv
52,-1.175663631675075,0.2986290416419378,-0.15663195835408647,NMLCH001625,Kv
53,-0.4538209621692664,-0.2756536907322734,-0.18183253793697363,NMLCH001627,Kv
54,0.15608717350202764,1.043948017900847,-0.4226980064332427,NMLCH001636,Kv
55,0.7480528240341964,2.7349025528802375,1.6951053449668867,NMLCH001637,Kv
56,-1.1187614216508766,0.3667681012790261,-0.11079683601419077,NMLCH001638,Kv
